DE070998F;+49 7071 4078560;;;;;info@syss.de;ICT;SYSS GMBH
DE047216F;+49 261 80001780;;;;;info@systema.de;ICT;CGM CLINICAL DEUTSCHLAND GMBH
DE071133F;+49 228 763776 0;;;;;info@talend.com;ICT;TALEND GERMANY GMBH
DE071191W;+49 6501 99663;;www.tapp-haustechnik.de;;;info@tapp-haustechnik.de;CON;TAPP HAUSTECHNIK ELEKTRO.SOLAR.ENERGIE GMBH
DE071136F;+49 40 60946 142;;;;;info@taxi.de;ICT;TALEX MOBILE SOLUTIONS GMBH
DE071032W;+49 6022 623713;;www.tbh-kopatz.de;;;info@tbh-kopatz.de;CON;T B H TIEFBAU-BERATUNGS- UND HANDELSGESELLSCHAFT MBH
DE071275E;+49 7071 9492760;;;;;info@tdmsystems.com;ICT;TDM SYSTEMS GMBH
DE001904K;49 203260;;http://www.tec-artec.de;;;info@tec-artec.de;CON;TEC artec GmbH
DE062720W;+49 221 995577 77;;www.tehran-apartments.com;;;info@tehran-apartments.com;ICT;MIDEACON GMBH
DE071049F;+49 228 181 0;;;;;info@telekom.de;ICT;T-MOBILE GLOBAL ZWISCHENHOLDING GMBH
DE001269K;49 76400;;http://www.temme-bau.de;;;info@temme-bau.de;CON;Temme GmbH & Co. KG Baugesellschaft
DE004443K;49 608651;;http://www.tentaclion.com;;;info@tentaclion.com;ICT;Tentaclion GmbH
DE071593F;+49 621 379093 25;;;;;info@tga-systems.com;ICT;TGA SYSTEMS GMBH
DE071587W;+49 89 208039498;;www.tggi.de;;;info@tggi.de;ICT;TG GROUP INTERNATIONAL GMBH
DE003347K;49 395720;;http://www.t-h.de;;;info@t-h.de;ICT;Trebing & Himstedt Prozessautomation GmbH & Co. KG
DE071738W;;;www.thortex.de;;;info@thortex.de;CON;THORTEX DEUTSCHLAND GMBH
DE071882F;+49 7121 96650;;;;;info@tisoware.com;ICT;TISOWARE GESELLSCHAFT FUER ZEITWIRTSCHAFT MBH
DE004242K;49 332040;;http://www.tl-electronic.de;;;info@tl-electronic.de;ICT;TL Electronic GmbH
DE071923F;+49 89 80093 0;;;;;info@tm-ausbau.eu;CON;TM AUSBAU GMBH
DE058854F;+49 89 56000;;;;;info@tns-live.com;ICT;KANTAR LIVE GMBH
DE072013F;+49 89 357154 0;;;;;info@tomic.de;CON;TOMIC TEC GMBH
DE072271W;+49 7323 6177;;www.traugottjunginger.de;;;info@traugottjunginger.de;CON;TRAUGOTT UND KARL JUNGINGER NATUR- UND KUNSTSTEINWERK OHG
DE072281W;+49 69 36707742;;www.trcell.de;;;info@trcell.de;ICT;TRCELL GMBH
DE056187F;+49 2641 909 0;;;;;info@treffpunktfenster.de;ICT;HORST KLAES GMBH & CO. KG
DE072375W;+49 40 2094400;;www.triolog.de;;;info@triolog.de;ICT;TRIOLOG EDV-SERVICE GMBH
DE069111W;+49 9325 470;;www.triples-gmbh.de;;;info@triples-gmbh.de;CON;SEIMEX GMBH
DE072397F;+49 89 307668 250;;;;;info@trnd.com;ICT;TRND INTERNATIONAL GMBH
DE004518K;49 6640891501;;http://www.trustinternational.com;;;info@trustinternational.com;ICT;Sabre Hospitality Solutions GmbH
DE002806K;49 6614109510;;http://tsn.systems;;;info@tsn.systems;ICT;TSN Systems GmbH
DE072527W;+49 611 426401;;www.tucana.net;;;info@tucana.net;ICT;TUCANA HANDELS-GMBH
DE072589W;+49 89 51305598;;www.twentyfouramps.de;;;info@twentyfouramps.de;CON;TWENTYFOUR AMPS GMBH
DE072604E;+49 711 215777 0;;;;;info@twt-gmbh.de;ICT;TWT GMBH SCIENCE & INNOVATION
DE072665W;+49 6236 4080920;;www.ufit.de;;;info@ufit.de;ICT;UFIT AG
DE072702W;+49 212 64529 0;;www.ultra.de;;;info@ultra.de;ICT;ULTRA CONSULTING NETWORK GMBH - UNTERNEHMENSBERATUNG
DE072973W;+49 162 1306666;;www.vadox-bau.de;;;info@vadox-bau.de;CON;VADOX BAU GMBH
DE073036F;+49 6841 972870;;;;;info@variopack-group.de;CON;VARIO PACK GMBH & CO. KG
DE073308W;+49 175 2411286;;www.viet-eu.de;;;info@viet-eu.de;ICT;VIET-EU UG (HAFTUNGSBESCHRAENKT)
DE073400F;+49 761 2075800;;;;;info@virtual-identity.com;ICT;VIRTUAL IDENTITY AG
DE002858K;49 7009680;;http://www.visageimaging.com;;;info@visageimaging.com;ICT;Visage Imaging GmbH
DE073469W;+49 5121 972910;;www.vitruvmassivbau.de;;;info@vitruvmassivbau.de;CON;VITRUV MASSIV BAU GMBH
DE001528K;49 28110;;;;;info@voblo.de;CON;GES GmbH & Co. KG
DE073523F;+49 2302 96096 0;;;;;info@voelker.de;CON;VOELKER GMBH
DE073905W;;;www.webcustoms.de;;;info@webcustoms.de;ICT;WEBCUSTOMS IT SOLUTIONS GMBH
DE073917F;+49 228 9114455;;;;;info@webfactory.de;ICT;WEBFACTORY GMBH
DE074037W;+49 221 9497670;;www.weku-koeln.de;;;info@weku-koeln.de;CON;WEKU ELEKTROSERVICE GMBH
DE074203F;+49 8504 9229 0;;;;;info@weto.de;ICT;WETO AG
DE074256F;+49 7240 92590;;;;;info@wicam.com;ICT;WICAM GMBH TECHNISCHE SOFTWARE
DE001602K;49 21910;;http://www.wiesmueller-bau.de;;;info@wiesmueller-bau.de;CON;Friedrich Wiesmüller Bauunternehmung GmbH
DE001152K;49 928280;;http://www.wilhelm.de;;;info@wilhelm.de;ICT;Wilhelm Mikroelektronik-GmbH
DE057667F;+49 5251 69330;;;;;info@wincor-nixdorf.com;ICT;IP MANAGEMENT GMBH
DE003135K;49 92410;;http://www.winter-gmbh.com;;;info@winter-gmbh.com;CON;Oldham-Winter GmbH
