DE051012W;+49 6431 283338;;www.esat-gmbh.com;;;info@esat-gmbh.com;CON;ESAT GMBH
DE004062K;49 511372980;;https://www.esd.eu;;Done: send Email on 19-03-2020;info@esd.eu;ICT;esd
DE051205W;+49 40 5897950 0;;www.euradrives.eu;;;info@euradrives.eu;ICT;EURA DRIVES GMBH
DE051464F;+49 211 301290;;;;;info@euroweb.de;ICT;EUROWEB INTERNET GMBH
DE051593F;+49 6151 6294890;;;;;info@exocad.com;ICT;EXOCAD GMBH
DE051605F;+43 1 524919814;;;;;info@experian.de;ICT;EXPERIAN GMBH
DE052134W;+49 4761 926380;;www.fibertrax.de;;;info@fibertrax.de;ICT;FIBERTRAX GMBH
DE052138W;+49 151 45442135;;www.ficanka.de;;;info@ficanka.de;CON;FICANKA GMBH
DE001534K;49 35657729;;http://www.firmen-webagentur.de;;;info@firmen-webagentur.de;ICT;Firmen Webagentur - München Inh. Sladjana Vojcic
DE052238F;+49 9723 9188 0;;;;;info@fis-gmbh.de;ICT;FIS INFORMATIONSSYSTEME UND CONSULTING GMBH
DE052334W;+49 8233 7932009;;www.fliesen-jeckel.de;;;info@fliesen-jeckel.de;CON;FLIESEN JECKEL GMBH
DE003332K;49 941831;;http://www.fluidtechnologie.com;;;info@fluidtechnologie.com;CON;Fluidtec Flüssigkeitstechnologie
DE052401W;+49 7771 9144510;;www.focuselektro.com;;;info@focuselektro.com;CON;FOCUS ELEKTRO- UND AUTOMATISIERUNGSTECHNIK GMBH
DE052427F;+49 89 45217060;;;;;info@follow-me-tech.com;ICT;FOLLOW-ME TECHNOLOGY GMBH
DE001151K;49 6080;;;;;info@formoza.de;ICT;FORMOZA electronics GmbH
DE052532W;+49 921 726120;;www.fbg-bayreuth.de;;;info@fraenkische-baugesellschaft.de;CON;FRAENKISCHE BAUGESELLSCHAFT FREILEITUNGSBAU UND ELEKTROINSTALLATION GMBH
DE004697K;49 99819719;;http://www.freudenberg-it.de;;;info@freudenberg-it.de;ICT;Freudenberg IT Solution Consulting SE & Co. KG Standort München
DE068671W;;;;;;info@froker.de;ICT;SCALERIST GMBH
DE003990K;49 426336743;;http://www.gameforge.com;;;info@gameforge.com;ICT;Gameforge 4D GmbH
DE053108F;+49 7681 40180;;;;;info@ganter-interior.com;CON;GANTER INTERIOR GMBH
DE053157W;+49 821 5666929;;www.gassmann-eshop.de;;;info@gassmann-eshop.de;ICT;GASSMANN DIENSTLEISTUNGS UG (HAFTUNGSBESCHRAENKT)
DE053192F;+41 71 66666 66;;;;;info@gautschi.cc;CON;GAUTSCHI ENGINEERING GMBH
DE052949F;+49 234 9762 0;;;;;info@gdata.de;ICT;G DATA CYBERDEFENSE AG
DE004190K;49 9390;;http://www.gebhardt-systems.de;;;info@gebhardt-foerdertechnik.de;ICT;GEBHARDT Fördertechnik GmbH
DE053278F;+49 4921 92140;;;;;info@gebr-neumann.de;CON;GEBR. NEUMANN G.M.B.H. & CO KG
DE002174K;49 9799140;;http://www.gefeg.com;;;info@gefeg.com;ICT;Gefeg -Gesellschaft für elektronischen Geschäftsverkehr mbH
DE053317W;+49 2566 1369;;www.gehring-brunnenbau.de;;;info@gehring-brunnenbau.de;CON;GEHRING ERDWAERME GMBH
DE003762K;49 5997660;;http://www.genomatix.de;;;info@genomatix.de;ICT;Genomatix Software GmbH
DE001956K;49 6890;;http://www.geopp.de;;;info@geopp.de;ICT;Geo++ Gesellschaft für satellitengestützte geodätische und navigatorische Technolgien mbH
DE053412W;;;www.georgogmbh.com;;;info@georgogmbh.com;ICT;GEORGO GMBH
DE053013W;;;www.ges.com.de/en_us/c;;;info@ges.com.de;ICT;G.E.S. GERMAN ELECTRO-MECHATRONICS SYSTEMS GMBH
DE002070K;49 209780;;http://www.gfelektro.de;;;info@gfelektro.de;CON;Gebrüder Friedrich Industrie- und Elektrotechnik GmbH
DE003233K;49 89750;;http://www.gip-waagen.de;;;info@gip-waagen.de;ICT;GIP GmbH Waagen- u. Maschinenbau KG
DE063968W;;;www.glam-o-meter.com;;;info@glam-o-meter.com;ICT;NETTI WEBER, ANNETTE WEBER E.KFR.
DE065736W;+49 4181 93010;;www.glas-peter.de;;;info@glas-peter.de;CON;PETER GMBH GLAS & RAHMEN
DE053927W;+49 89 20201081;;;;;info@globl-gmbh.com;CON;GLOBL CONSULTING & PROJEKTMANAGEMENT GMBH
DE004394K;49 1870;;http://www.graudatastorage.de;;;info@graudata.com;ICT;GRAU DATA GmbH
DE054337W;+49 7022 245988 0;;www.grisevic-bau.de;;;info@grisevic-bau.de;CON;GRISEVIC BAU GMBH
DE053118W;+49 3691 7353 0;;www.group-technologies.com;;;info@group-technologies.com;ICT;GAP AG
DE003464K;49 94840;;http://www.gsn-service.de;;;info@gsn-service.de;CON;GSN Maschinen-Anlagen-Service GmbH
DE054458W;+49 38847 37544;;www.gt-agentur.com;;;info@gt-agentur.com;CON;GT-SERVICES GMBH
DE052962E;+49 621 502 0;;;;;info@guh-group.com;CON;G+H ISOLIERUNG GMBH
DE052964E;+49 621 502 0;;;;;info@guh-schallschutz.de;CON;G+H SCHALLSCHUTZ GMBH
